epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7329,2.93203,16.8349,3.98692,4.36688,0.0029,0.86885,0.00271,0.00098,0.00246,0.7377,0.00214,0.00057,2.59109,5.1934,3.93518,4.1585,0.0865,0.0015,0.0015
2,26.5158,2.94194,9.04755,3.98013,4.3497,0.0029,0.86885,0.00271,0.001,0.00246,0.7377,0.00214,0.00057,2.59015,5.17912,3.93451,4.15682,0.0720795,0.00307954,0.00307954
3,38.4399,2.93913,5.46326,3.91753,4.2647,0.0029,0.86885,0.00271,0.00099,0.00243,0.72951,0.00211,0.00057,2.5898,5.10948,3.94836,4.15064,0.057638,0.00463796,0.00463796
4,50.3032,2.87197,4.14896,3.71706,4.16043,0.0029,0.86885,0.00271,0.00093,0.00243,0.72951,0.00211,0.00059,2.58638,4.98607,3.86986,4.12989,0.0431753,0.00617526,0.00617526
5,62.1266,2.93091,3.43148,3.23938,3.93803,0.00287,0.86066,0.00302,0.001,0.00246,0.7377,0.00237,0.00061,2.59112,5.01576,3.34124,4.13287,0.0286914,0.00769144,0.00769144
6,74.0403,2.90327,3.1109,2.85191,3.6911,0.00292,0.87705,0.00452,0.00132,0.00224,0.67213,0.00248,0.00062,2.59903,4.8652,3.56032,4.09899,0.0141865,0.0091865,0.0091865
7,85.8491,2.79991,2.77724,2.52308,3.49468,0.58116,0.12295,0.24582,0.05643,0.34452,0.07377,0.11766,0.0288,2.45771,4.77714,2.94077,3.45374,0.009604,0.009604,0.009604
8,97.6674,2.45357,2.39503,2.17012,3.15149,0.19445,0.15574,0.15445,0.0447,0.36337,0.03279,0.03067,0.00438,2.61444,46.5201,3.89744,4.70197,0.009538,0.009538,0.009538
9,109.779,2.13908,2.0615,1.78461,2.81364,0.45766,0.48361,0.50112,0.20284,0.4982,0.48015,0.50428,0.23481,2.03862,4.97813,4.84673,3.4887,0.009472,0.009472,0.009472
10,123.583,1.88107,1.85451,1.53415,2.52956,0.27609,0.29508,0.1592,0.05975,0.27118,0.29508,0.15278,0.07498,2.04871,3.15626,2.81317,2.96318,0.009406,0.009406,0.009406
11,138.271,1.68842,1.72464,1.36578,2.3123,0.41288,0.40984,0.42462,0.17247,0.44591,0.44262,0.45107,0.1982,1.81244,6.56702,4.64377,2.84038,0.00934,0.00934,0.00934
12,152.584,1.54128,1.61098,1.18846,2.1415,0.5715,0.45902,0.51844,0.25666,0.57483,0.45902,0.50941,0.2863,1.78626,3.79269,2.30108,2.56261,0.009274,0.009274,0.009274
